CITYID,ATTRACTIONNAME,NBRESTAURANT_NAME,nbrestaurant_reviewnum,nbrestaurant_mile
0001,"African Bead Museum","El Barzon","14 reviews ","1.78 miles away "
0001,"Ambassador Bridge","Los Galanes","74 reviews ",".33 miles away "
0001,"Anna Scripps Whitcomb Conservatory","Thompson House","26 reviews ",".94 miles away "
0001,"Beacon Park",SavannahBlue,"223 reviews ",".14 miles away "
0001,"Belle Isle Aquarium","Thompson House","26 reviews ","1.00 miles away "
0001,"Belle Isle Park","Thompson House","28 reviews ",".81 miles away "
0001,"Better Made Snack Foods","Hollywood Coney Island Restaurant","3 reviews ",".19 miles away "
0001,"Bonstelle Theatre","Grey Ghost Detroit","66 reviews ",".09 miles away "
0001,"Boston Edison Historic District","New Center Eatery","9 reviews ","1.41 miles away "
0001,Bricktown,"Astoria Pastry Shop","312 reviews ",".14 miles away "
0001,"Cadillac Square",null,null,null
0001,"Campus Martius Park","Dime Store","310 reviews ",".05 miles away "
0001,"Central United Methodist Church","Cliff Bells","281 reviews ",".12 miles away "
0001,"Century Club","Small Plates","159 reviews ",".17 miles away "
0001,"Charles H. Wright Museum of African American History","Chartreuse Kitchen & Cocktails","37 reviews ",".25 miles away "
0001,"Chene Park Amphitheatre","Taloola Cafe","43 reviews ",".77 miles away "
0001,"Cobo Center","London Chop House","148 reviews ",".17 miles away "
0001,"College for Creative Studies","Chartreuse Kitchen & Cocktails","15 reviews ",".11 miles away "
0001,"Comerica Park","Small Plates","159 reviews ",".13 miles away "
0001,"Corktown Historic District","Selden Standard","155 reviews ",".58 miles away "
0001,"Definitive Style Exclusive","Wright & Company","198 reviews ",".12 miles away "
0001,"Detroit City Distillery","Supino Pizzeria","98 reviews ",".12 miles away "
0001,"Detroit Cultural Center Historic District","Dime Store","310 reviews ",".07 miles away "
0001,"Detroit Downtown","Dime Store","23 reviews ",".10 miles away "
0001,"Detroit Historical Museum","Chartreuse Kitchen & Cocktails","15 reviews ",".06 miles away "
0001,"Detroit Industrial Gallery","Sister Pie","29 reviews ","1.19 miles away "
0001,"Detroit Institute of Arts","Chartreuse Kitchen & Cocktails","37 reviews ",".09 miles away "
0001,"Detroit Opera House","Wright & Company","281 reviews ",".11 miles away "
0001,"Detroit People Mover","Wright & Company","401 reviews ",".09 miles away "
0001,"Detroit Public Library","Chartreuse Kitchen & Cocktails","15 reviews ",".07 miles away "
0001,"Detroit RiverFront","Joe Muer Seafood","143 reviews ",".19 miles away "
0001,"Detroit Symphony Orchestra","2941 Street Food","61 reviews ",".26 miles away "
0001,"Detroit-Windsor Tunnel","Joe Muer Seafood","250 reviews ",".11 miles away "
0001,"DNR Outdoor Adventure Center","Rattlesnake Club","107 reviews ",".53 miles away "
0001,"Dossin Great Lakes Museum","Thompson House","26 reviews ",".83 miles away "
0001,"Earthworks Urban Farms","Detroit Vegan Soul","56 reviews ",".88 miles away "
0001,"Eastern Market","Supino Pizzeria","38 reviews ",".24 miles away "
0001,"Elmwood Cemetary","Supino Pizzeria","98 reviews ",".48 miles away "
0001,"Fisher Mansion","Atwater in the Park","29 reviews ","1.41 miles away "
0001,"Fisher Theatre","New Center Eatery","9 reviews ",".18 miles away "
0001,"Ford Field","Small Plates","159 reviews ",".22 miles away "
0001,"Fox Theatre","Cliff Bells","62 reviews ",".12 miles away "
0001,"Gabriel Richard Park","Detroit Vegan Soul","56 reviews ",".48 miles away "
0001,"Gem & Century Theatres","Small Plates","159 reviews ",".17 miles away "
0001,"GM Renaissance Center","Joe Muer Seafood","143 reviews ",".14 miles away "
0001,"GM World","Joe Muer Seafood","143 reviews ",".12 miles away "
0001,"Gospel Music Hall of Fame & Museum","United African Restaurant",".10 miles away ",null
0001,"Grand Circus Park","Chartreuse Kitchen & Cocktails","58 reviews ",".28 miles away "
0001,"Grand River Creative Corridor","Wright & Company","802 reviews ",".17 miles away "
0001,Greektown,"Astoria Pastry Shop","371 reviews ",".00 miles away "
0001,"Greektown Casino","Astoria Pastry Shop","371 reviews ",".05 miles away "
0001,"Hart Plaza","London Chop House","223 reviews ",".20 miles away "
0001,"Historic Fort Wayne","El Asador","21 reviews ","1.22 miles away "
0001,"Historic Trinity Lutheran Church","Supino Pizzeria","98 reviews ",".18 miles away "
0001,"Inner State Gallery","Supino Pizzeria","98 reviews ",".15 miles away "
0001,"International Institute of Metropolitan Detroit","Chartreuse Kitchen & Cocktails","15 reviews ",".08 miles away "
0001,"James Scott Memorial Fountain",Palenque,"16 reviews ",".99 miles away "
0001,"Joe Louis Arena","London Chop House","92 reviews ",".36 miles away "
0001,"Joe Louis Monument","London Chop House","148 reviews ",".17 miles away "
0001,"Lafayette Greens","Dime Store","802 reviews ",".08 miles away "
0001,"Lincoln Street Art Park","New Center Eatery","14 reviews ",".71 miles away "
0001,"Little Caesars Arena","Cliff Bells","61 reviews ",".37 miles away "
0001,"Mariner Park","Atwater in the Park","29 reviews ","1.54 miles away "
0001,"Masonic Temple","Selden Standard","155 reviews ",".48 miles away "
0001,"Matrix Theatre Company","Green Dot Stables","226 reviews ",".49 miles away "
0001,"Max M. Fisher Music Center","2941 Street Food","61 reviews ",".26 miles away "
0001,"Michigan Central Station","Slows Bar BQ","72 reviews ",".20 miles away "
0001,"Michigan Labor Legacy Monument","London Chop House","148 reviews ",".17 miles away "
0001,"Michigan Science Center","Chartreuse Kitchen & Cocktails","37 reviews ",".23 miles away "
0001,"Michigan Soldiers and Sailors Monument","Dime Store","23 reviews ",".06 miles away "
0001,"Midtown Detroit Dog Park",Republic,"223 reviews ",".46 miles away "
0001,"Moross House","Red Smoke BBQ","45 reviews ",".54 miles away "
0001,"MotorCity Casino","Selden Standard","86 reviews ",".62 miles away "
0001,"Motown Museum","New Center Eatery","14 reviews ",".83 miles away "
0001,"Mount Hazel Cemetery","Burger King","1 review ",null
0001,"Movement Electronic Music","Sweetwater Tavern","45 reviews ",".32 miles away "
0001,"Museum of Contemporary Art","2941 Street Food","147 reviews ",".13 miles away "
0001,"Palmer Park","La Dolce Vita","33 reviews ",".69 miles away "
0001,"Penobscot Building","Dime Store","23 reviews ",".07 miles away "
0001,Poletown,null,null,null
0001,"PuppetART Theater","Wright & Company","401 reviews ",".06 miles away "
0001,"River Rouge Park","East Garden Chinese and American Restaurant",".85 miles away ",null
0001,"Riverfront-Lakewood East Park",null,null,null
0001,"Russell Industrial Center","Yemen Cafe","46 reviews ",".94 miles away "
0001,"Scarab Club","Chartreuse Kitchen & Cocktails","37 reviews ",".17 miles away "
0001,"Second Baptist Church","Astoria Pastry Shop","312 reviews ",".06 miles away "
0001,"Senate Theater",null,null,null
0001,"Solanus Casey Center","Detroit Vegan Soul","73 reviews ",".95 miles away "
0001,"Sound Board Theater","Selden Standard","201 reviews ",".59 miles away "
0001,"Ste. Anne de Detroit Church","Green Dot Stables","227 reviews ",".28 miles away "
0001,"Sweetest Heart of Mary Roman Catholic Church",Seva,"33 reviews ",".73 miles away "
0001,"Swords into Plowshares Peace Center and Art Gallery","Cliff Bells","281 reviews ",".12 miles away "
0001,"The Cathedral Church of St. Paul","Chartreuse Kitchen & Cocktails","404 reviews ",".29 miles away "
0001,"The Fillmore Detroit","Cliff Bells","281 reviews ",".07 miles away "
0001,"The Ford Piquette Avenue Plant","Chartreuse Kitchen & Cocktails","58 reviews ",".58 miles away "
0001,"The Guardian Building","Dime Store","23 reviews ",".13 miles away "
0001,"The Heidelberg Project","Sister Pie","33 reviews ","1.15 miles away "
0001,"The Spirit of Detroit","The Grand Trunk Pub","143 reviews ",".14 miles away "
0001,"Tiger Stadium Site","El Barzon","76 reviews ",".42 miles away "
0001,"Tuskegee Airmen National Museum","El Asador","21 reviews ","1.22 miles away "
0001,"Two James Spirits","Slows Bar BQ","72 reviews ",".18 miles away "
0001,"Walter P. Reuther Library","Chartreuse Kitchen & Cocktails","15 reviews ",".15 miles away "
0001,"William G. Milliken State Park and Harbor","Rattlesnake Club","73 reviews ",".48 miles away "
0001,"William Livingstone Memorial Lighthouse","Thompson House","28 reviews ",".81 miles away "
0001,"Woodward Avenue","London Chop House","148 reviews ",".12 miles away "
